,,0.0,0.2,0.4,0.6,0.8,1.0
loss_S,0.02,4.286189489997923,1.0822826100047678,2.2840406661853194,1.3564071140717715,0.7987618228653446,290.72547006607056
loss_S,0.2,0.7980918235261925,1.3252028030110523,0.6520166233676719,1.3204127552453429,0.8563391994684935,3.691840781830251
loss_S,0.4,1.02320049185073,1.5987007500370964,0.8474176657473436,1.4394184807315469,1.3113917736336589,2.6367984362877905
loss_S,0.6,6.620297264307737,0.85111534097814,1.1722375418175943,1.4577118834713474,1.106358198914677,2.6121160527691245
loss_S,0.8,1.7584325117059052,1.661010158015415,1.743589412420988,0.9732016281341203,1.2266052489867434,2.4857644508592784
loss_S,0.98,3.8163162851706147,11.655261708423495,2.6029086504131556,1.1733655016869307,8.88691315986216,2.9096695696935058
loss_T,0.02,15.882250406352133,2.564295488400408,4.248576938038677,2.3024671945616597,1.7752146324333757,479.0543822802083
loss_T,0.2,1.4221311882690668,2.497674443689967,1.4807536135340464,2.1488633285619194,1.291170779708314,3.2237278160718237
loss_T,0.4,2.723477272370761,1.7173785305171336,1.1567052343454145,2.3353135377050465,1.8400061871051043,1.8047605785179162
loss_T,0.6,7.761257368073328,1.090467039273201,1.3525947768142617,1.228996761543449,1.534474316647299,2.0765933240109504
loss_T,0.8,2.2190221753376576,1.352650232232539,1.3646406890637972,1.1486842932428627,1.3115786090663326,2.4305459689727242
loss_T,0.98,4.842977772938358,5.776657570836885,1.7887589718880368,1.1249741523967256,4.5692107238501345,2.7818634920059497
acc_S,0.02,0.4580078125,0.7265625,0.54833984375,0.70751953125,0.76416015625,0.09814453125
acc_S,0.2,0.76025390625,0.720703125,0.798828125,0.71728515625,0.759765625,0.3681640625
acc_S,0.4,0.740234375,0.67919921875,0.79638671875,0.654296875,0.666015625,0.423828125
acc_S,0.6,0.26611328125,0.7802734375,0.72265625,0.685546875,0.71240234375,0.47705078125
acc_S,0.8,0.5703125,0.62890625,0.66015625,0.7353515625,0.6943359375,0.5966796875
acc_S,0.98,0.4990234375,0.3251953125,0.4228515625,0.65478515625,0.2353515625,0.44189453125
acc_T,0.02,0.27496695108760966,0.4774666506429516,0.39778872731642834,0.46496815286624205,0.5625525778151664,0.16115851460161038
acc_T,0.2,0.6067780314866001,0.5326282898690061,0.6297320033649801,0.5289027761086408,0.6523254416536474,0.45054680927773105
acc_T,0.4,0.46556904218243,0.59680326883788,0.7084485037856026,0.5243360173056123,0.5615911549092657,0.5611104434563153
acc_T,0.6,0.19937507511116453,0.6982333854104074,0.6578536233625766,0.6955894724191803,0.6280495132796539,0.5238553058526619
acc_T,0.8,0.43348155269799304,0.6610984256699916,0.6677082081480591,0.7119336618194928,0.674197812762889,0.5791371229419541
acc_T,0.98,0.3727917317630092,0.4100468693666627,0.5855065496935464,0.6948684052397548,0.3971878380002404,0.5410407402956375
